Simulation,Tiempo promedio,GGrr (s),yyrr (s),rrGG (s),rryy (s)
26,37.661120840630474,33.19534579027217,2.633473132116801,39.71410699258398,4.4952263942959645
27,41.02939735423812,25.451499786966373,3.354141465849194,56.64426001633924,4.102312620667366
28,33.152733118971064,29.748464476095588,3.3668518573774917,28.63554820144967,2.3286323885217457
29,47.47751046025105,50.01130092020952,2.067704050818111,18.33210025692695,3.262369821669604
30,30.12156536219817,18.19564433304434,3.696360861013917,23.339590966828002,2.6266764512282412
31,38.70373746581586,33.7012768018313,2.231754387084801,50.326974824972886,2.574331303282565
32,40.89903846153846,17.23160373867981,4.457841671807899,41.62172739224873,4.070230464137406
33,45.44164524421594,48.435908285553076,4.0765577796421955,58.965287403697424,3.7286551477511773
34,40.11808461180846,36.19147993633251,2.57445559434517,48.221219358069696,4.3216138637964
35,43.3198684828558,30.88422290429047,4.856073762153272,18.334597577830486,3.5284598469950392
36,39.07807228915663,17.90417833402432,2.214132373282814,47.98042596838915,2.723221936744511
37,43.5233874938454,56.79999224925817,3.7212442033335336,36.36875859555535,4.568354006211026
38,29.7632241813602,14.444553874570467,3.970214224268825,17.34636967136887,3.6097628252747382
39,50.66507684154743,27.21665719390152,4.552376911887295,11.017527353139759,4.229145212878979
40,41.81160092807425,36.76626333206198,4.849075611692792,21.356560634718974,2.5895250561059866
41,43.16641901931649,39.586224007771364,3.8656895605242134,59.83346741971458,3.2118272929120475
42,40.47992259313014,24.9302994483407,2.9755203920134488,54.94644208336835,4.373674018899615
43,56.95092024539877,57.685110136038055,3.2619231278121497,10.960538842578678,2.205048961849009
44,34.04788961038961,27.65850446093956,4.803724316815458,28.223809413234438,2.9409451959745145
45,36.001290322580644,14.342161723444699,4.031249572170793,22.932877766811817,2.363087142670284
46,48.44531658817373,56.05990391031303,4.453741551333941,20.370323824368644,4.381960400621823
47,42.54044834307992,32.07075240051329,4.998805533778771,58.39057854860566,3.146924960159959
48,41.938376753507015,17.773874493823953,3.611253345972369,51.759509808380585,3.743244867725987
49,48.848390446521286,28.400767700443698,3.0922640650463387,11.489030079053293,3.4984484829946423
50,37.583440583440584,23.786439126239635,2.0852319379094313,18.53827368263509,2.998924877315407
51,42.66301239275501,54.776733537252014,3.5220417170172325,26.25298728419553,4.0162922299987915
